[2018-01-28T10:16:27-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2018-01-28T10:16:49-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-28T10:40:50-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-29T01:44:23-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-29T01:44:23-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-29T11:26:13-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-29T11:26:14-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-29T14:17:12-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-29T14:17:12-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-29T14:22:54-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-29T14:22:55-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-29T17:09:46-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-29T17:09:46-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-29T20:08:43-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-29T20:08:43-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-30T01:22:56-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-30T01:22:56-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-30T12:02:42-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-30T12:02:42-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-30T14:10:48-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-30T14:10:48-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-30T22:53:14-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-30T22:53:14-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-30T23:04:10-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-30T23:04:10-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-31T07:17:52-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-31T07:17:52-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-31T20:38:48-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-31T20:38:49-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-01T07:59:32-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-01T07:59:32-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-01T16:27:55-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-01T16:27:56-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
