[2018-01-23T10:53:50-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2018-01-23T10:54:04-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-23T12:30:28-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-24T12:37:11-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-24T12:37:11-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-25T13:55:43-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-25T13:55:44-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-25T17:51:28-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-25T17:51:28-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-25T18:53:17-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-25T18:53:17-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: fb967248c5; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-26T09:35:55-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-26T09:35:55-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-26T15:07:07-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-26T15:07:08-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-26T15:28:32-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-26T15:28:33-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-26T16:15:20-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-26T16:15:20-0500] DFHack 0.43.05-r3-0-ge2f705c7 on Windows; cwd md5: d1ae05c609; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
